player,tm,ws
Bill Walton,POR,26.000000000000004
Bill Wennington,CHI,11.1
Bill Wennington,DAL,4.3
Bill Wennington,SAC,2.2
Bill Willoughby,ATL,2.0
Bill Willoughby,CLE,3.0
Bill Willoughby,HOU,4.1
Bill Willoughby,SAS,1.2
Bill Zopf,MIL,-0.1
Billy Cunningham,PHI,63.1
Billy Donovan,NYK,-0.1
Billy Garrett,NYK,0.0
Billy Kenville,DET,0.9
Billy Knight,BOS,0.7
Billy Knight,IND,38.0
Billy Knight,SAS,0.3
Billy McKinney,CHI,0.1
Billy McKinney,DEN,7.8999999999999995
Billy McKinney,UTA,1.1
Billy Owens,DET,0.8
Billy Owens,GSW,13.700000000000001
Billy Owens,MIA,5.9
Billy Owens,PHI,1.1
Billy Owens,SAC,6.9
Billy Paultz,ATL,0.3
Billy Paultz,HOU,4.4
Billy Paultz,SAS,21.7
Billy Paultz,UTA,0.0
Billy Ray Bates,LAL,-0.2
Billy Ray Bates,POR,6.9
Billy Reid,GSW,-0.6
Billy Thomas,CLE,-0.1
Billy Thomas,WAS,0.2
Billy Thompson,GSW,0.0
Billy Thompson,LAL,1.5
Billy Thompson,MIA,8.1
Bimbo Coles,ATL,2.3
Bimbo Coles,BOS,0.1
Bimbo Coles,CLE,0.30000000000000004
Bimbo Coles,GSW,4.8
Bimbo Coles,MIA,20.0
Bingo Smith,CLE,30.200000000000003
Bismack Biyombo,CHA,5.199999999999999
Bismack Biyombo,ORL,5.8
Bismack Biyombo,TOR,5.9
Bison Dele,CHI,0.2
Bison Dele,DEN,7.0
Bison Dele,DET,9.3
Bison Dele,LAC,4.0
Bison Dele,ORL,2.1
Blair Rasmussen,ATL,3.0
Blair Rasmussen,DEN,16.1
Blake Ahearn,MIA,0.0
Blake Ahearn,SAS,0.1
Blake Ahearn,UTA,-0.2
Blake Griffin,BOS,1.8
Blake Griffin,DET,10.1
Blake Griffin,LAC,65.3
Blake Wesley,SAS,-1.6
Blue Edwards,BOS,0.5
Blue Edwards,MIA,0.4
Blue Edwards,MIL,8.6
Blue Edwards,UTA,10.8
Bo Ellis,DEN,2.5
Bo Kimble,LAC,0.1
Bo Kimble,NYK,0.0
Bo Lamar,LAL,0.5
Bo Outlaw,LAC,13.2
Bo Outlaw,MEM,3.6
Bo Outlaw,ORL,26.299999999999997
Bob Anderegg,NYK,0.0
Bob Bigelow,BOS,-0.1
Bob Boozer,CHI,31.6
Bob Boozer,LAL,5.8
Bob Boozer,MIL,3.7
Bob Boozer,NYK,7.3
Bob Brannum,BOS,3.9000000000000004
Bob Carrington,IND,1.0
Bob Christian,ATL,3.8
Bob Cousy,BOS,90.9
Bob Dandridge,MIL,62.5
Bob Davis,POR,-0.3
Bob Doll,BOS,1.6
Bob Donham,BOS,17.9
Bob Duffy,DET,0.6
Bob Duffy,NYK,-0.1
Bob Ferry,DET,14.600000000000001
